INFORMACION MENSUAL DEL MERCADO DE CAMBIOS;;;;;;;;;;;;;;;;;;;;;;
Gerencia de Estadísticas del Sector Externo - Banco Central de la República Argentina;;;;;;;;;;;;;;;;;;;;;;
;;;;Meses;;;;;;;;;;;;;;;;;;
Años;ANEXO;Denominación;C-V;1;2;3;4;5;6;7;8;9;10;11;12;;;;;;;
2003;1;Agricultura, Ganadería y Otras Actividades Primarias;C; 56 ; 42 ; 55 ; 54 ; 68 ; 64 ; 78 ; 68 ; 78 ; 72 ; 57 ; 80 ;;;;;;;
2003;1;Agua;C; 0 ; 0 ; 0 ;;;; 0 ;; 0 ;; 0 ;;;;;;;;
2003;1;Alimentos, Bebidas y Tabaco;C; 191 ; 140 ; 171 ; 156 ; 152 ; 157 ; 176 ; 155 ; 177 ; 185 ; 181 ; 217 ;;;;;;;
2003;1;Comercio;C; 42 ; 43 ; 40 ; 45 ; 42 ; 43 ; 44 ; 39 ; 42 ; 39 ; 49 ; 46 ;;;;;;;
2003;1;Comunicaciones;C; 1 ; 1 ; 1 ; 2 ; 1 ; 0 ; 0 ; 1 ; 0 ; 0 ; 1 ; 1 ;;;;;;;
2003;1;Construcción;C; 2 ; 1 ; 6 ; 4 ; 1 ; 2 ; 2 ; 2 ; 2 ; 0 ; 1 ; 1 ;;;;;;;
2003;1;Electricidad (Generación, Transporte, Distribución);C; 5 ; 3 ; 5 ; 3 ; 2 ; 7 ; 2 ; 2 ; 6 ; 3 ; 4 ; 4 ;;;;;;;
2003;1;Entidades Financieras y Cambiarias;C; 0 ;;; 0 ;; 1 ; 0 ; 0 ;; 0 ; 0 ; 0 ;;;;;;;
2003;1;Entretenimiento;C; 0 ; 1 ; 2 ; 1 ; 0 ; 1 ; 1 ; 1 ; 0 ; 1 ; 1 ; 1 ;;;;;;;
2003;1;Gas (Extracción, Transporte, Distribución);C; 9 ; 5 ; 6 ; 11 ; 5 ; 8 ; 3 ; 3 ; 3 ; 6 ; 4 ; 4 ;;;;;;;
2003;1;Gastronomía;C; 0 ;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2003;1;Industria Automotriz;C; 93 ; 108 ; 93 ; 110 ; 116 ; 92 ; 120 ; 100 ; 112 ; 106 ; 153 ; 233 ;;;;;;;
2003;1;Industria de Papel, Ediciones e Impresiones;C; 37 ; 29 ; 29 ; 30 ; 28 ; 28 ; 27 ; 29 ; 30 ; 31 ; 28 ; 25 ;;;;;;;
2003;1;Industria Química, Caucho y Plástico;C; 121 ; 146 ; 126 ; 121 ; 123 ; 141 ; 150 ; 124 ; 127 ; 164 ; 154 ; 224 ;;;;;;;
2003;1;Industria Textil y Curtidos;C; 88 ; 66 ; 85 ; 94 ; 83 ; 89 ; 84 ; 80 ; 85 ; 86 ; 87 ; 87 ;;;;;;;
2003;1;Informática;C; 6 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 1 ;;;;;;;
2003;1;Maquinarias y Equipos;C; 40 ; 26 ; 29 ; 31 ; 32 ; 26 ; 33 ; 32 ; 41 ; 31 ; 36 ; 37 ;;;;;;;
2003;1;Metales Comunes y Elaboración;C; 96 ; 92 ; 74 ; 76 ; 142 ; 95 ; 105 ; 90 ; 92 ; 154 ; 111 ; 142 ;;;;;;;
2003;1;Mineria;C; 3 ; 4 ; 4 ; 4 ; 6 ; 4 ; 4 ; 5 ; 3 ; 4 ; 3 ; 5 ;;;;;;;
